Sample Volume (ml)	60.000000	
Titrant normality	0.050000	 
Equivalent Volume (ml)	1.745840	 
ANC (eq/L)	0.001455	 
correlation coefficient	0.993702	 

Titrant Volume (ml)	pH	F1
0.000000	6.272293	0.000000
0.250000	6.741055	0.000000
0.500000	7.029415	0.000000
0.750000	7.648738	0.000000
1.000000	9.044095	0.000011
1.250000	9.576062	0.000038
1.500000	9.713225	0.000053
1.750000	9.905954	0.000083
2.000000	10.069256	0.000121
2.250000	10.316453	0.000215
2.500000	10.422628	0.000276
2.750000	10.568565	0.000387
3.000000	10.643860	0.000462
