Sample Volume (ml)	50.000000	 
Titrant normality	0.050000	 
Equivalent Volume (ml)	3.028179	 
ANC (eq/L)	0.003028	 
correlation coefficient	0.999593	 

Titrant Volume (ml)	pH	F1
0.000000	6.451398	0.000000
0.250000	6.643984	0.000000
0.500000	6.652814	0.000000
0.750000	6.653689	0.000000
1.000000	6.652611	0.000000
1.250000	6.643653	0.000000
1.500000	6.634556	0.000000
1.750000	6.622850	0.000000
2.000000	6.613201	0.000000
2.250000	6.582594	0.000000
2.500000	6.503385	0.000000
2.750000	6.475035	0.000000
3.000000	6.397681	0.000000
3.250000	6.318416	0.000001
3.500000	6.074363	0.000001
3.750000	3.292917	0.000548
3.850000	3.232885	0.000630
3.950000	3.186246	0.000703
4.050000	3.140068	0.000783
